#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
0.571167 -0.0245251 0.0190182
0.571978 0.00926673 0.0194699
0.57279 0.000123386 0.0190301
0.573601 -0.0214389 0.0191178
0.574412 -0.0089746 0.0188501
0.575223 -0.0294759 0.0196454
0.576034 -0.0224562 0.0186449
0.576845 -0.0174711 0.0198651
0.577656 -0.0156647 0.0195073
0.578467 -0.02123 0.0193112
0.579278 0.00301305 0.0194791
0.580089 -0.00478977 0.0199106
0.5809 -0.021938 0.0198384
0.581712 -0.0173411 0.0191598
0.582523 -0.00161458 0.0196579
0.583334 0.00141935 0.0190157
0.584145 0.0257017 0.0194292
0.584956 0.0244654 0.0195885
0.585767 0.016959 0.019725
0.586578 -0.0147884 0.0200924
0.587389 0.0333907 0.0191201
0.5882 0.00592876 0.019809
0.589011 -0.0361365 0.0187825
0.589822 0.00907855 0.0196457
0.590633 -0.00422155 0.0191858
0.591445 -0.0140934 0.0194709
0.592256 0.00976098 0.0192752
0.593067 0.00664457 0.0192262
0.593878 -0.0378349 0.0197793
0.594689 -0.0282888 0.0196883
0.5955 0.0272051 0.0193247
0.596311 -0.042873 0.0199177
0.597122 -0.0129879 0.0192648
0.597933 0.00300546 0.0201037
0.598744 0.0236179 0.0203813
0.599555 0.0163556 0.0195095
0.600367 -0.00988669 0.0199169
0.601178 -0.00533885 0.0194879
0.601989 0.0327181 0.0196127
0.6028 -0.010607 0.0199366
0.603611 -0.0140424 0.0196882
0.604422 -0.0330442 0.0193181
0.605233 0.00366899 0.0201563
0.606044 0.00813547 0.01997
0.606855 0.0220634 0.019795
0.607666 -0.0128672 0.0197265
0.608477 -0.0187466 0.0196221
0.609289 -0.0219949 0.0193147
0.6101 -0.0256729 0.0201455
0.610911 -0.00053851 0.0199247
0.611722 -0.0117951 0.0195251
0.612533 -0.0122615 0.0197423
0.613344 -0.0147152 0.0197364
0.614155 -0.0153301 0.0196595
