"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,600,"B10",23,7,0.202703517576215
-56.2,-0.1364,2,0.2,200,800,"B11",23,7,0.157603296950132
-56.2,-0.1364,2,0.2,200,1000,"B12",23,7,0.167535191880891
-56.2,-0.1364,2,0.2,200,0,"A1",23.5,8,1.94802192507561
-56.2,-0.1364,2,0.2,200,1,"A2",23.5,8,1.99644364644816
-56.2,-0.1364,2,0.2,200,10,"A3",23.5,8,1.83524614825689
-56.2,-0.1364,2,0.2,200,50,"A4",23.5,8,1.60609419691821
-56.2,-0.1364,2,0.2,200,100,"A5",23.5,8,1.06438489526557
-56.2,-0.1364,2,0.2,200,150,"A6",23.5,8,0.63108462087925
-56.2,-0.1364,2,0.2,200,200,"A7",23.5,8,0.187882673681486
-56.2,-0.1364,2,0.2,200,250,"A8",23.5,8,0.165617693674642
-56.2,-0.1364,2,0.2,200,400,"A9",23.5,8,0.102405647789419
-56.2,-0.1364,2,0.2,200,600,"A10",23.5,8,0.22404746218803
-56.2,-0.1364,2,0.2,200,800,"A11",23.5,8,0.179482266331598
-56.2,-0.1364,2,0.2,200,1000,"A12",23.5,8,0.205015654812884
-56.2,-0.1364,2,0.2,200,0,"B1",23.5,8,2.06683182259185
-56.2,-0.1364,2,0.2,200,1,"B2",23.5,8,1.93570813103606
-56.2,-0.1364,2,0.2,200,10,"B3",23.5,8,1.92406676051416
-56.2,-0.1364,2,0.2,200,50,"B4",23.5,8,1.5244780487252
-56.2,-0.1364,2,0.2,200,100,"B5",23.5,8,1.08256129615603
-56.2,-0.1364,2,0.2,200,150,"B6",23.5,8,0.688558643456955
-56.2,-0.1364,2,0.2,200,200,"B7",23.5,8,0.246983377656866
-56.2,-0.1364,2,0.2,200,250,"B8",23.5,8,0.273711170881173
-56.2,-0.1364,2,0.2,200,400,"B9",23.5,8,0.211533775654061
-56.2,-0.1364,2,0.2,200,600,"B10",23.5,8,0.214971776359909
-56.2,-0.1364,2,0.2,200,800,"B11",23.5,8,0.223542096890831
-56.2,-0.1364,2,0.2,200,1000,"B12",23.5,8,0.189961464925508
-56.2,-0.1364,2,0.2,200,0,"B1",23.5,8,1.99897473919883
-56.2,-0.1364,2,0.2,200,1,"B2",23.5,8,2.0493737724356
-56.2,-0.1364,2,0.2,200,10,"B3",23.5,8,1.96430403597002
-56.2,-0.1364,2,0.2,200,50,"B4",23.5,8,1.51561590403943
-56.2,-0.1364,2,0.2,200,100,"B5",23.5,8,1.05824455343711
-56.2,-0.1364,2,0.2,200,150,"B6",23.5,8,0.745274282501396
-56.2,-0.1364,2,0.2,200,200,"B7",23.5,8,0.18813058818028
-56.2,-0.1364,2,0.2,200,250,"B8",23.5,8,0.218127058563873
-56.2,-0.1364,2,0.2,200,400,"B9",23.5,8,0.0855518476011917
