#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
   1.93267         -827779 3.0162e+06      1.84347e+06    19942.7
   1.94078      -2.26233e+06 3.01684e+06      1.80252e+06      19595
    1.9489      3.58653e+06 3.00397e+06      1.76152e+06    19246.9
   1.95701         -189288 2.99238e+06      1.72058e+06    18899.2
   1.96513      6.09534e+06  3.104e+06      1.67958e+06    18551.1
   1.97324      4.1149e+06 2.99603e+06      1.63863e+06    18203.4
   1.98135      -1.3269e+06 2.95672e+06      1.59768e+06    17855.7
   1.98947         -496189 2.99152e+06      1.55669e+06    17507.6
   1.99758      8.02499e+06 3.02024e+06      1.51574e+06    17159.9
   2.00569      7.06538e+06 2.94344e+06      1.4818e+06    16908.1
   2.01381      4.56773e+06 2.96414e+06      1.45079e+06    16696.8
   2.02192      4.00092e+06 3.06699e+06      1.41983e+06    16485.9
   2.03004      2.4109e+06 2.98896e+06      1.38883e+06    16274.6
   2.03815      -3.97566e+06 2.94729e+06      1.35787e+06    16063.6
   2.04626      -1.04131e+06 2.91477e+06      1.3269e+06    15852.6
   2.05438      5.41701e+06 2.98217e+06      1.2959e+06    15641.4
   2.06249          774636 2.89986e+06      1.26494e+06    15430.4
    2.0706      -3.90558e+06 3.07052e+06      1.23398e+06    15219.4
   2.07872      3.47172e+06 3.08717e+06      1.20297e+06    15008.2
   2.08683          457654 2.97236e+06      1.17201e+06    14797.2
   2.09494      2.21679e+06 2.99846e+06      1.14105e+06    14586.2
   2.10306          496440 2.98043e+06      1.11331e+06    14409.8
   2.11117      2.03476e+06 3.00413e+06       1.091e+06      14291
   2.11929      -1.97573e+06 2.95268e+06      1.06867e+06      14172
    2.1274      3.69029e+06 3.05808e+06      1.04636e+06    14053.2
   2.13551      1.11035e+06 3.02008e+06      1.02405e+06    13934.4
   2.14363      -1.80141e+06 3.04507e+06      1.00171e+06    13815.5
   2.15174         -872470 3.00121e+06          979401    13696.7
   2.15985      -1.30801e+06 2.85256e+06          957092    13577.9
   2.16797      -2.09023e+06 2.97133e+06          934755    13458.9
   2.17608      4.86825e+06 2.99714e+06          912445    13340.1
    2.1842         -962221 2.91071e+06          890108    13221.2
   2.19231      2.62283e+06 2.98567e+06          867799    13102.4
   2.20042      -4.16029e+06 3.0098e+06          845835    12984.9
   2.20854      -2.81149e+06 2.95626e+06          830174    12892.8
   2.21665      1.93799e+06 2.95052e+06          814532    12800.7
   2.22476      -4.7132e+06 2.87454e+06          798890    12708.7
   2.23288          865847 2.88441e+06          783228    12616.5
   2.24099      1.57058e+06 2.99358e+06          767586    12524.5
   2.24911      2.9231e+06 2.96377e+06          751925    12432.4
   2.25722      -4.86102e+06 2.90613e+06          736283    12340.3
   2.26533      4.56431e+06 2.95203e+06          720641    12248.3
   2.27345      4.66736e+06 2.87645e+06          704980    12156.1
   2.28156      2.5801e+06 2.90221e+06          689338    12064.1
   2.28967      -2.12641e+06 2.90468e+06          673696      11972
   2.29779      1.26717e+06 2.91228e+06          658034    11879.9
    2.3059      -3.06485e+06 2.88228e+06          645813    11771.8
   2.31402         -386960 2.9401e+06          634858    11657.6
   2.32213      1.66374e+06 2.9951e+06          623918    11543.6
   2.33024         -663414 3.02275e+06          612977    11429.5
   2.33836      3.13377e+06 2.84561e+06          602022    11315.3
   2.34647      5.86755e+06 3.02368e+06          591082    11201.3
   2.35458      -3.16363e+06 2.86352e+06          580141    11087.2
    2.3627          453101 2.98119e+06          569187      10973
   2.37081          714391 3.02667e+06          558246      10859
   2.37893      -1.10467e+06 2.9791e+06          547291    10744.8
   2.38704      -1.96823e+06 2.93102e+06          536351    10630.8
   2.39515          358007 2.84718e+06          525410    10516.7
