Sample description: RNA2
Sample: RNA2 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\NTPCM-RNA-rep1_0005.img" "C:\Data\Guanine-aptamer-Nov22\NTPCM-buf-rep1_0002.img"
Processed by SAXSLab Tue Nov 23 16:11:22 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.8665e-08
==============================================
0.411383 -0.0296975 0.0224476
0.412194 -0.0313408 0.0223032
0.413005 -0.00024896 0.0214097
0.413816 -0.0060652 0.0221913
0.414627 -0.00739312 0.0218361
0.415438 0.0152001 0.0217227
0.41625 -0.0197896 0.0219006
0.417061 0.00473423 0.021353
0.417872 0.00582 0.0218605
0.418683 0.00168072 0.0216014
0.419494 0.0212911 0.0219978
0.420305 0.0105234 0.0215964
0.421116 -0.0229836 0.021839
0.421927 0.00945307 0.0220679
0.422738 0.00463326 0.0230403
0.423549 -0.0199264 0.0226194
0.42436 -0.0311759 0.0219712
0.425171 -0.000143632 0.0214871
0.425983 -0.0139212 0.0218472
0.426794 -0.0165737 0.0212713
0.427605 -0.00973777 0.021267
0.428416 -0.0289523 0.022463
0.429227 0.0119342 0.0215843
0.430038 0.000517019 0.0213469
0.430849 -0.0476347 0.0209183
0.43166 -0.0240628 0.021987
0.432471 -0.00717795 0.0221994
0.433282 -0.0180729 0.022575
0.434093 -0.0359709 0.0221644
0.434905 0.0479195 0.0217536
0.435716 -0.0138788 0.0223227
0.436527 -0.0606381 0.0217355
0.437338 0.00625185 0.0222525
0.438149 0.0317425 0.0226061
0.43896 -0.00033337 0.0218987
0.439771 0.0257839 0.0220517
0.440582 -0.00596243 0.0217842
0.441393 0.00800933 0.0220415
0.442204 -0.0254443 0.0215819
0.443015 -0.00636221 0.0216612
0.443827 -0.0313293 0.0217772
0.444638 0.00913319 0.0219789
0.445449 -0.00188286 0.0217878
0.44626 -0.0519977 0.0222324
0.447071 -0.0322973 0.0221576
0.447882 -0.053347 0.0218685
0.448693 0.0256099 0.0220881
0.449504 -0.0221957 0.0215556
0.450315 -0.0086421 0.0215443
0.451126 -0.0118778 0.0217362
0.451937 0.016905 0.0214025
0.452748 -0.0207436 0.0217499
0.45356 0.00396082 0.0220591
0.454371 -0.0241226 0.0215502
0.455182 -0.0255812 0.0217354
0.455993 -0.0090784 0.0207437
0.456804 -0.0272003 0.02135
0.457615 -0.0315872 0.0212923
0.458426 -0.0150296 0.0212689
0.459237 0.0375396 0.0205767
0.460048 0.0194269 0.0202762
0.460859 -0.0486777 0.0206354
0.46167 -0.0333705 0.0203023
0.462482 -0.0115756 0.0205491
0.463293 0.0192246 0.0212179
0.464104 -0.0449811 0.0211208
0.464915 -0.0388978 0.0214024
0.465726 -0.0182472 0.020927
0.466537 -0.00492656 0.0212466
0.467348 -0.00946271 0.0212994
0.468159 -0.0387566 0.0215768
0.46897 -0.00194702 0.0212245
0.469781 -0.0153903 0.0203193
0.470592 0.00858088 0.021134
0.471404 -0.0506769 0.0207896
0.472215 0.0111592 0.0210215
0.473026 -0.00993782 0.0219914
0.473837 -0.00174237 0.0215822
0.474648 -0.0341202 0.0208034
0.475459 -0.00970106 0.0212732
0.47627 0.0129131 0.0220194
0.477081 0.00984941 0.0216496
0.477892 -0.00801806 0.0211372
0.478703 0.0106463 0.020712
0.479514 0.0172605 0.0212888
0.480325 -0.0176288 0.0217584
0.481137 0.00436878 0.0210529
0.481948 -0.0108138 0.0201543
0.482759 0.0462919 0.0208476
0.48357 -0.0239844 0.0213503
0.484381 0.0298767 0.0210418
0.485192 -0.0164969 0.0212006
0.486003 -0.0333143 0.0211923
0.486814 -0.00302111 0.020777
0.487625 0.0384459 0.0216558
0.488436 -0.0225441 0.0213051
0.489247 -0.0167481 0.0216635
0.490059 -0.0108742 0.0210811
0.49087 -0.0168103 0.0210094
0.491681 -0.015017 0.0216901
0.492492 -0.00947185 0.0206845
0.493303 0.0058534 0.0210025
0.494114 0.0226401 0.0213925
0.494925 0.00511179 0.0211019
0.495736 0.000243842 0.0215674
0.496547 0.00236116 0.0215371
0.497358 0.0314059 0.0215255
0.498169 -0.035805 0.0217044
0.498981 -0.026806 0.0215672
0.499792 0.00903961 0.0211585
0.500603 0.00114582 0.0215988
0.501414 0.0197399 0.0210114
0.502225 -0.0103604 0.0214241
0.503036 -0.0109863 0.0210301
0.503847 -0.00759269 0.0217727
0.504658 -0.008876 0.0213989
0.505469 -0.0191798 0.0206458
0.50628 0.00427298 0.0207548
0.507091 -0.00769756 0.0210604
0.507902 -0.00038314 0.0212462
0.508714 0.0293505 0.0209879
0.509525 -0.0103263 0.0212544
0.510336 -0.0327525 0.0212396
0.511147 0.00247581 0.0203035
0.511958 -0.0221299 0.0211341
0.512769 0.0364648 0.0209973
0.51358 -0.00117807 0.0211014
0.514391 -0.0493258 0.0207014
0.515202 -0.0146378 0.0212314
0.516013 0.0186259 0.020205
0.516824 0.0217547 0.0204984
0.517636 -0.0101237 0.0209873
0.518447 -0.0317862 0.0207421
0.519258 0.01117 0.0212398
0.520069 -0.00351456 0.0211198
0.52088 -0.0151303 0.0207352
0.521691 -0.0114016 0.0212326
0.522502 -0.0174114 0.0202279
0.523313 -0.0189062 0.0203823
0.524124 0.00721945 0.0209971
0.524935 0.0172405 0.0210467
0.525746 0.0295465 0.02049
0.526558 0.0306466 0.0207482
0.527369 -0.0332878 0.0205924
0.52818 -0.0392347 0.0209563
0.528991 -0.0190789 0.0210585
0.529802 0.011513 0.0219609
0.530613 -0.00253091 0.0210668
0.531424 -0.0130438 0.0208688
0.532235 0.0423437 0.0212151
0.533046 0.0137159 0.0205031
0.533857 0.00594361 0.0208613
0.534668 0.00629842 0.0206421
0.535479 0.0167033 0.0206289
0.536291 -0.0185504 0.0206685
0.537102 0.0294155 0.0199314
0.537913 0.00179825 0.0195864
0.538724 -0.0699973 0.0203686
0.539535 -0.00106184 0.0199749
0.540346 0.00622467 0.0204306
0.541157 -0.0189237 0.020873
0.541968 -0.00555474 0.0204659
0.542779 0.0150684 0.0203315
0.54359 0.00305155 0.0207199
0.544401 -0.0186442 0.0202578
0.545213 -0.0202908 0.0202287
0.546024 -0.0306252 0.0206324
0.546835 -0.0243202 0.0208219
0.547646 -0.0263024 0.0198671
0.548457 -0.0213054 0.020296
0.549268 -0.00120877 0.0205814
0.550079 0.0142634 0.020513
0.55089 -0.0117261 0.0209216
0.551701 0.0428249 0.0204783
0.552512 0.0147709 0.0205004
0.553323 -0.0313702 0.0205771
0.554135 0.00874546 0.0207941
0.554946 0.0334441 0.0213279
0.555757 -0.0285864 0.020395
0.556568 -0.0262504 0.0200679
0.557379 -0.0329324 0.021218
0.55819 0.0237181 0.0208148
0.559001 -0.0166067 0.0206709
0.559812 -0.0135089 0.0210579
0.560623 -0.0291818 0.0210413
0.561434 -0.0073991 0.0218791
0.562245 -0.00395739 0.0211973
0.563056 -0.000245986 0.0212265
0.563868 -0.0477189 0.0207693
0.564679 0.0138258 0.0213074
0.56549 -0.0278894 0.021541
0.566301 -0.0258248 0.0210734
0.567112 0.0208799 0.0210106
0.567923 -0.0401052 0.0207583
0.568734 -0.0282331 0.021564
0.569545 -0.0160747 0.0214091
0.570356 -0.0090308 0.0204393
0.571167 -0.0152939 0.0209959
0.571978 0.00900623 0.0213512
0.57279 -0.00219293 0.0209323
0.573601 -0.00260113 0.0213409
0.574412 -0.01739 0.020899
0.575223 -0.0281528 0.0205838
0.576034 -0.0131075 0.0216236
0.576845 0.0146686 0.0215769
0.577656 -0.0106632 0.0216386
0.578467 0.0104335 0.0215854
0.579278 -0.0114803 0.0214886
0.580089 -0.0220863 0.0214042
0.5809 -0.036032 0.0213975
0.581712 0.000661975 0.0209467
0.582523 -0.00120209 0.0214137
0.583334 -0.00749492 0.0210947
0.584145 0.00169735 0.0211519
0.584956 -0.0205651 0.021608
0.585767 -0.0254746 0.0212321
0.586578 -0.0058085 0.0214575
0.587389 0.0215139 0.0217402
0.5882 0.00815918 0.0221256
0.589011 0.000458964 0.0210084
0.589822 0.000732121 0.0219384
0.590633 -0.00331088 0.021511
0.591445 0.013887 0.0217136
0.592256 0.0329503 0.0215251
0.593067 -0.0394501 0.0219029
0.593878 -0.0296025 0.0221635
0.594689 -0.0186329 0.0215586
0.5955 0.0138852 0.0214256
0.596311 0.00564999 0.0216251
0.597122 -0.0110291 0.0210344
0.597933 -0.00376151 0.0210972
0.598744 -0.0547229 0.0212475
0.599555 -0.0447276 0.0215911
0.600367 0.0145679 0.0211364
0.601178 -0.033189 0.0218287
0.601989 -0.0225308 0.0219294
0.6028 -0.0510199 0.0216616
0.603611 -0.0191041 0.0213268
0.604422 -0.0373418 0.0210845
0.605233 0.0182954 0.0211135
0.606044 -0.0294782 0.021958
0.606855 -0.0472755 0.0213976
0.607666 -0.0100782 0.0219318
0.608477 -0.033811 0.0213484
0.609289 0.0130385 0.0203053
0.6101 -0.023692 0.0225696
0.610911 0.00406397 0.0210829
0.611722 0.0362194 0.0213247
0.612533 0.0478139 0.0216518
0.613344 0.00214176 0.0212336
