"i","Mg.T","Mg.free","Mg.free.NTP","Mg.free.WMCM"
83,52.3022200617661,10.6887215408791,25.0571566979834,26.5475639557414
83,54.1221978910235,11.6179139143306,26.8581913901077,27.7315498463863
83,56.0055060969853,12.6041272871543,28.7216458166202,28.968205737589
83,57.9543484079326,13.6471580480215,30.6636018937043,30.2580601677068
83,59.9710052360163,14.7519545973104,32.6736006323537,31.6106003166177
83,62.0578363456505,15.9193092904004,34.73716161966,33.0182268904562
83,64.2172836147604,17.1517751657998,36.8909436844464,34.493085389187
83,66.4518738921133,18.4533052215813,39.1200569505467,36.0303157025374
83,68.7642219540776,19.8251734784666,41.4271100174052,37.6353054375763
83,71.1570335642685,21.2716516215136,43.802535615956,39.3115298261979
83,73.6331086396622,22.7964852017285,46.2740702300819,41.0561182045697
83,76.1953445268813,24.4013564147178,48.8319168557856,42.8916424460749
83,78.846739392487,26.0863493216015,51.4790686725686,44.7911840975099
83,81.5903957312447,27.8581121147117,54.2095516855608,46.7782066377909
83,84.4295239964662,29.721913257627,57.0450175315873,48.851431460004
83,87.3674463566808,31.6750804510037,59.9793996653618,51.0121010800461
83,90.4076005830255,33.7251482660097,63.0161318124006,53.266255717746
83,93.553544071909,35.8792451891097,66.1587674553794,55.6166357531504
83,96.8089580076511,38.1367169176268,69.4044182626358,58.0721677298617
83,100.177651669973,40.4980652134746,72.7702406688468,60.6205329853375
83,103.663566891375,42.9730206467707,76.2533805943521,63.2826131162043
83,107.27078266962,45.55849108373,79.857913849013,66.056165722982
83,111.003519940719,48.2718441791888,83.5880582855792,68.9453430890514
83,114.866146518005,51.1085630210737,87.4481787354112,71.9546548963606
83,118.86318220307,54.0703389227338,91.4381500926042,75.0895116354034
83,122.999304074553,57.1645561343044,95.5720860250993,78.3578470559884
83,127.27935196096,60.4014124999109,99.8500211365967,81.7535529402566
83,131.708334103929,63.7803804994272,104.276961231027,85.2918998086981
83,136.291433018554,67.3065991464962,108.858086466265,88.9753429802386
83,141.03401155764,70.990228684373,113.598757415773,92.8111399000024
83,145.941619186972,74.8299419804819,118.504521341344,96.7978339276107
83,151.019998478951,78.8325541328056,123.577917497563,100.951997757622
83,156.275091832189,83.0111903504474,128.831395853194,105.270422321981
83,161.713048424928,87.3664996699473,134.267791569099,109.762875856889
83,167.340231410419,91.9035602213259,139.893465990939,114.435312763923
83,173.163225362685,96.6301915398391,145.715001945115,119.295627569116
83,179.188843981371,101.557768302117,151.739211441659,124.341588645507
83,185.424138064705,106.685549394829,157.973143645295,129.601550278934
83,191.876403759897,112.033082265876,164.424093123996,135.062566769287
83,198.55319110063,117.583104679221,171.099608384695,140.738618737682
83,205.462312841633,123.362068450781,178.00750070613,146.637598736676
83,212.61185360067,129.38672647308,185.153844455066,152.773104136107
83,220.010179318652,135.648274468954,192.551089229076,159.143300501737
83,227.665947048933,142.160657558024,200.205812280744,165.762144122458
83,235.588115087242,148.929301419152,208.126970691827,172.630065242154
83,243.785953454121,155.973614330873,216.32383330935,179.782375628334
83,252.269054742114,163.294013783177,224.805991591462,187.203345834957
83,261.047345340413,170.903376728369,233.58337083079,194.902546222717
83,270.131097050092,178.812270198925,242.666241768418,202.907875713197
83,279.530939103518,187.026217448016,252.065232612092,211.216350501833
83,289.257870602011,195.573627635561,261.791341472706,219.842602695311
83,299.323273386293,204.438948009058,271.855949233619,228.801636033971
83,309.738925354804,213.649467808856,282.270832867874,238.099533695027
83,320.517014245448,223.21746516964,293.048179218887,247.750767705499
83,331.67015189692,233.153192344853,304.200599260745,257.767198983637
83,343.211389006281,243.46955622227,315.741142854793,268.162872720411
83,355.154230400058,254.189054771584,327.682243898233,278.951760726316
83,367.512650836738,265.309005519033,340.040052547921,290.141566450267
83,380.301111359151,276.852830814737,352.827921829208,301.765779440278
83,393.534576215867,288.835461137375,366.060815301535,313.820482163805
83,407.228530371412,301.272370810109,379.754217263356,326.327579195254
83,421.3989976258,314.179596539754,393.924150870902,339.303210587161
83,436.062559364566,327.573756536669,408.587196887472,352.7637789588
83,451.23637396126,341.472070228622,423.760513085208,366.727536467968
83,466.93819685509,355.889364676486,439.461854322045,381.212233510951
83,483.186401327216,370.853511663021,455.709593317333,396.235988623927
83,500,386.374515654094,472.52274215044,411.818302659284
84,0.1,0.000678731283229602,0.000784846353238678,0.0315789480526316
84,0.103479733416876,0.000698941806167146,0.000811670257568758,0.0326778112369083
84,0.107080552280278,0.000719617149554163,0.000839393281369252,0.033814911930614
84,0.11080667004095,0.000740756910344589,0.000868044304365374,0.0349915806971421
84,0.114662446766492,0.00076235953011795,0.00089765304292301,0.036209194399945
84,0.118652394243234,0.000784422177472747,0.000928250067474987,0.0374691778136528
84,0.122781181255639,0.000921962254143581,0.000959866819750717,0.0387730052912545
84,0.127053639049427,0.000885551050587096,0.000992535629748124,0.0401222024892928
84,0.131474766984787,0.000970645462115798,0.00102628973238103,0.0383597974420749
84,0.136049738386317,0.000910679265578566,0.0010611632837291,0.0396980069491701
84,0.140783906596518,0.000995557094944996,0.00109719137681085,0.0410830216131427
84,0.145682811239941,0.000978146856805668,0.00113441005679317,0.0425164869401123
84,0.150752184705302,0.00109071080970198,0.00117285633554327,0.0440001068735877
84,0.155997958853163,0.00117974971426261,0.00121256820542084,0.0455356459100483
84,0.161426271957021,0.0011030650135481,0.00125358465219961,0.0471249312938172
84,0.167043475885927,0.00114256393712698,0.00129594566699805,0.0487698552943719
84,0.172856143537041,0.00126014261888255,0.00133969225708908,0.0504723775693746
84,0.178871076526823,0.00135205799332298,0.0013848664554482,0.0522345276168443
84,0.185095313149853,0.0013857157057251,0.00143151132888771,0.0540584073200439
84,0.1915361366146,0.00141961635782316,0.00147967098461287,0.0559461935888071
84,0.198201083565772,0.00145370477453856,0.00152939057502271,0.0579001411011974
84,0.20509795290322,0.00148791957430793,0.00152320752944376,0.0599225851495569
84,0.212234814907723,0.00152219267211932,0.00153233606031724,0.0620159445951867
84,0.219620020684312,0.00155644874763533,0.0016571140011602,0.0641827249360836
84,0.227262211934214,0.00159060467616432,0.00174480801105711,0.0664255214923564
84,0.235170331066821,0.00167169014458176,0.00180304121558656,0.0687470227141508
84,0.243353631663531,0.00171240609998456,0.0018631272145497,0.0711500136171268
84,0.251821689305709,0.00175847186048752,0.00192511841960384,0.0736373793507598
84,0.260584412779422,0.00191047861678032,0.00198906823651741,0.0762121089049725
84,0.269652055670077,0.00191193161106649,0.00205503104357836,0.0788772989608549
84,0.279035228360523,0.00196466849253745,0.00212306216554104,0.0816361578914897
84,0.28874491044664,0.00208639227853019,0.0021932178427209,0.0844920099191726
84,0.298792463584981,0.00221660813360269,0.00226555519481967,0.0874482994356084
84,0.309189644787455,0.00225007517171361,0.00234013217903397,0.0905085954919591
84,0.319948620178645,0.00228172114715717,0.00241700754196981,0.093676596465939
84,0.331081979231836,0.00246476994286817,0.0024962407648528,0.0969561349134838
84,0.342602749500421,0.00246550771324988,0.00257789200148913,0.100351182612865
84,0.354524411861923,0.00254339213000673,0.0026620220083963,0.10386585580949
84,0.366860916292466,0.00269747798070259,0.00274869206648341,0.107504420670001
84,0.379626698190153,0.00280302173793374,0.00283796389362053,0.111271298954699
84,0.392836695266459,0.0028197561288188,0.00292989954739341,0.115171073917737
84,0.406506365025398,0.0029436476595234,0.00302456131729447,0.119208496444949
84,0.420651702850916,0.00300592317763142,0.00312201160555315,0.123388491439679
84,0.435289260723677,0.00320160532669565,0.00322231279575856,0.127716164467424
84,0.450436166589152,0.0032368278000659,0.00332552710837412,0.132196808670635
84,0.466110144399651,0.00339789257905152,0.00343171644218851,0.136835911965547
84,0.482329534853775,0.00357124860004083,0.00354094220068865,0.141639164533468
84,0.499113316857545,0.0036508333274318,0.00365326510227923,0.146612466619541
84,0.516481129732316,0.00371822537885839,0.00376874497320907,0.151761936652607
84,0.534453296195471,0.00386156740388578,0.00396245615981317,0.157093919700449
84,0.553050846140781,0.00410916426601215,0.00411254396909,0.162614996275354
84,0.572295541246258,0.00417389165026685,0.00421416476392886,0.168331991505651
84,0.592209900438296,0.0042666499736125,0.00444861075780276,0.174251984689622
84,0.612817226241897,0.00454798881923403,0.00463543976594897,0.180382319248931
84,0.634141632047809,0.00467360377481623,0.00474733683389842,0.186730613099571
84,0.656208070328501,0.0047896268156217,0.00489062456080294,0.193304769459128
84,0.67904236183596,0.00499015285628276,0.00510263273292325,0.200112988110081
84,0.70267122581551,0.00511950563153434,0.00527082927494266,0.207163777139765
84,0.727122311270986,0.00537648858550298,0.00538735950372855,0.214465965178592
84,0.752424229317845,0.00558079005950223,0.00560107126744436,0.222028714159153
84,0.778606586662091,0.00580483474225883,0.0058527949970394,0.229861532619846
84,0.80570002024417,0.00597926287490764,0.00600217010344159,0.237974289577809
84,0.833736233088384,0.0061578879508174,0.00622379601194005,0.246377228997068
84,0.862748031399765,0.00634073158959912,0.00647542649946714,0.255080984879004
84,0.892769362951824,0.00652780818513975,0.00672044794233189,0.264096597003498
84,0.923835356810091,0.00684103931593059,0.00701699364687749,0.273435527350412
84,0.955982364437928,0.00709843787978302,0.00728427556341841,0.283109677232409
84,0.989248002232717,0.00725878807692877,0.00740373453105285,0.293131405171512
84,1.02367119554219,0.00754573383512092,0.00775547224632099,0.303513545553288
84,1.05929222421241,0.00786530508735258,0.00796460238191192,0.314269428094029
84,1.0961527697207,0.00816034683246837,0.00836046201099248,0.325412898157879
84,1.13429596394868,0.00848465528381312,0.00860820841294579,0.33695833796251
84,1.17376643965248,0.0088299676057081,0.00891921659126463,0.348920688713596
84,1.21461038268914,0.0090866110885918,0.0092956587178975,0.361315473710116
84,1.25687558606043,0.00937543697674131,0.00952801447616439,0.374158822464293
84,1.30061150583713,0.00979441000561078,0.00999729386213787,0.387467495881855
84,1.34586931902948,0.010076991831584,0.0102605430387135,0.401258912550212
84,1.39270198347123,0.0104903920508636,0.0106381466051641,0.415551176184131
84,1.44116429978758,0.0107860916296176,0.0110552957711317,0.430363104280506
84,1.49131297551937,0.0113021081754892,0.011422217760661,0.44571425803593
84,1.54320669147873,0.0117468298638235,0.0119427345935066,0.461624973582906
84,1.59690617041359,0.0121756278324591,0.012367484463103,0.478116394602719
84,1.65247424806162,0.0125939015439105,0.0127392099519621,0.495210506375265
84,1.7099759466767,0.0129462548943473,0.0132902222026902,0.512930171328377
84,1.76947855111375,0.0134313643314371,0.0137566468381054,0.531299166151572
84,1.83105168756131,0.0140097972819114,0.0143011950983614,0.550342220541475
84,1.89476740501366,0.0144523968934758,0.0147826804597375,0.570085057648605
84,1.96070025957799,0.0151142304331851,0.0153316843605147,0.590554436297648
84,2.02892740171531,0.0155461969174339,0.0159392252331294,0.611778195055799
