"Well","A","B","Tm","invT","Helix","Condition"
"E6",91.3527478498354,200,57.782091916967,0.00302176798329642,"F","NTPCM"
"E7",91.3527478498354,150,57.0412143426426,0.00302854817621613,"F","NTPCM"
"E8",91.3527478498354,100,56.7244228162162,0.00303145661146676,"F","NTPCM"
"E9",91.3527478498354,50,57.2533918461361,0.00302660331182582,"F","NTPCM"
"F1",91.3527478498354,1000,61.0552559704504,0.00299217316943818,"F","NTPCM"
"F2",91.3527478498354,800,60.7384684201802,0.00299501209110809,"F","NTPCM"
"F3",91.3527478498354,600,60.260802557047,0.0029993029389889,"F","NTPCM"
"F4",91.3527478498354,400,59.5215600354454,0.00300596780768832,"F","NTPCM"
"F5",91.3527478498354,250,58.626822364054,0.00301407431922027,"F","NTPCM"
"F6",91.3527478498354,200,57.9932745287387,0.00301984088737159,"F","NTPCM"
"F7",91.3527478498354,150,57.2524086935936,0.003026612317852,"F","NTPCM"
"F8",91.3527478498354,100,56.8828185794294,0.00303000169590507,"F","NTPCM"
"F9",91.3527478498354,50,55.8278325331632,0.00303971848893251,"F","NTPCM"
"A1",193.94986625073,1000,48.80613736,0.00310601316129543,"G","NTPCM"
"A2",193.94986625073,800,48.0669664093694,0.00311316058792974,"G","NTPCM"
"A3",193.94986625073,600,48.1689070251351,0.00311217291649064,"G","NTPCM"
"A4",193.94986625073,400,47.4824675407908,0.00311883574258674,"G","NTPCM"
"A5",193.94986625073,250,47.0645743695495,0.00312290595132604,"G","NTPCM"
"A6",193.94986625073,200,46.642209146006,0.00312703052607337,"G","NTPCM"
"A7",193.94986625073,150,47.2206770234234,0.0031213842955012,"G","NTPCM"
"A8",193.94986625073,100,47.0622812602102,0.00312292831513037,"G","NTPCM"
"A9",193.94986625073,50,47.5384691206907,0.00311829110270769,"G","NTPCM"
"B1",193.94986625073,1000,48.858935285045,0.00310550388645207,"G","NTPCM"
"B2",193.94986625073,800,48.80613736,0.00310601316129543,"G","NTPCM"
"B3",193.94986625073,600,48.2217100623924,0.00311166157035371,"G","NTPCM"
"B4",193.94986625073,400,47.7464827270771,0.00311626974375566,"G","NTPCM"
"B5",193.94986625073,250,46.8533917577778,0.00312496687771652,"G","NTPCM"
"B6",193.94986625073,200,46.9061874107207,0.00312445139114503,"G","NTPCM"
"B7",193.94986625073,150,46.8510869092593,0.00312498938568782,"G","NTPCM"
"B8",193.94986625073,100,46.9566840847347,0.00312395851045488,"G","NTPCM"
"B9",193.94986625073,50,47.6968645999099,0.00311675166670861,"G","NTPCM"
"C1",193.94986625073,1000,49.3869145354955,0.00310042030829296,"G","NTPCM"
"C2",193.94986625073,800,48.1197643344144,0.00311264896673901,"G","NTPCM"
