#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
4.24508 84638.9 1955.22
4.2532 84940.9 1943.25
4.26131 85242.5 1931.3
4.26943 85544.5 1919.33
4.27754 85846.1 1907.38
4.28565 86147.8 1895.43
4.29377 86449.8 1883.46
4.30188 86756.4 1871.52
4.30999 87079.3 1859.61
4.31811 87402.6 1847.69
4.32622 87725.5 1835.78
4.33434 88048.8 1823.86
4.34245 88371.7 1811.95
4.35056 88694.6 1800.05
4.35868 89017.9 1788.13
4.36679 89340.8 1776.22
4.3749 89663.7 1764.31
4.38302 89987 1752.39
4.39113 90309.9 1740.48
4.39924 90632.8 1728.58
4.40736 90942.3 1717.27
4.41547 91249.9 1706.04
4.42359 91557.9 1694.8
4.4317 91865.5 1683.57
4.43981 92173.2 1672.34
4.44793 92481.2 1661.1
4.45604 92788.8 1649.87
4.46415 93096.4 1638.64
4.47227 93404.4 1627.39
4.48038 93712.1 1616.17
4.4885 94020.1 1604.92
4.49661 94327.7 1593.69
4.50472 94609.4 1582.98
4.51284 94872.7 1572.63
4.52095 95135.7 1562.29
4.52906 95398.7 1551.95
4.53718 95662 1541.6
4.54529 95925 1531.26
4.55341 96188.3 1520.9
4.56152 96451.3 1510.56
4.56963 96714.3 1500.22
4.57775 96977.7 1489.87
4.58586 97240.7 1479.53
4.59397 97503.7 1469.19
4.60209 97750.4 1459.06
4.6102 97949.2 1449.58
4.61832 98148.2 1440.1
4.62643 98346.9 1430.62
4.63454 98545.7 1421.15
4.64266 98744.7 1411.66
4.65077 98943.5 1402.19
4.65888 99142.2 1392.71
4.667 99341.2 1383.22
4.67511 99540 1373.75
4.68323 99739 1364.26
4.69134 99937.8 1354.79
4.69945 100137 1345.31
4.70757 100267 1336.57
4.71568 100392 1327.89
4.72379 100517 1319.21
4.73191 100642 1310.52
4.74002 100767 1301.84
4.74814 100892 1293.15
4.75625 101017 1284.47
4.76436 101142 1275.79
4.77248 101267 1267.09
4.78059 101392 1258.41
4.7887 101517 1249.73
4.79682 101642 1241.04
4.80493 101722 1232.85
4.81305 101772 1224.97
4.82116 101822 1217.1
4.82927 101872 1209.22
4.83739 101922 1201.34
4.8455 101973 1193.47
4.85361 102023 1185.6
4.86173 102073 1177.71
4.86984 102123 1169.84
4.87796 102174 1161.96
4.88607 102224 1154.08
4.89418 102274 1146.21
4.9023 102304 1139.29
4.91041 102285 1134.79
4.91852 102265 1130.3
4.92664 102246 1125.8
4.93475 102226 1121.3
4.94287 102207 1116.8
4.95098 102187 1112.31
4.95909 102168 1107.81
4.96721 102148 1103.31
4.97532 102128 1098.82
4.98343 102109 1094.32
4.99155 102089 1089.82
4.99966 102070 1085.33
5.00777 101991 1081.88
5.01589 101909 1078.47
5.024 101828 1075.07
5.03212 101746 1071.66
5.04023 101664 1068.26
5.04834 101583 1064.86
5.05646 101501 1061.45
5.06457 101419 1058.05
5.07268 101338 1054.64
5.0808 101256 1051.24
5.08891 101175 1047.83
5.09703 101093 1044.43
5.10514 100977 1041.43
5.11325 100842 1038.66
5.12137 100706 1035.9
5.12948 100571 1033.13
5.13759 100436 1030.37
5.14571 100300 1027.6
5.15382 100165 1024.84
5.16194 100029 1022.07
5.17005 99893.7 1019.31
5.17816 99758.3 1016.54
5.18628 99622.7 1013.78
5.19439 99487.3 1011.01
5.2025 99337.4 1008.4
5.21062 99154.3 1006.12
5.21873 98971.5 1003.85
5.22685 98788.5 1001.57
5.23496 98605.7 999.302
5.24307 98422.9 997.029
5.25119 98239.9 994.753
5.2593 98057.1 992.48
5.26741 97874.3 990.207
5.27553 97691.3 987.931
5.28364 97508.5 985.658
5.29176 97325.5 983.382
5.29987 97142.7 981.109
5.30798 96917.4 979.14
5.3161 96691 977.172
5.32421 96464.9 975.208
5.33232 96238.9 973.243
5.34044 96012.5 971.276
5.34855 95786.5 969.311
5.35667 95560.1 967.344
5.36478 95334.1 965.379
5.37289 95108 963.414
5.38101 94881.6 961.447
5.38912 94655.6 959.482
5.39723 94429.5 957.517
5.40535 94176 955.63
5.41346 93908.6 953.787
5.42158 93641 951.942
5.42969 93373.7 950.1
5.4378 93106.4 948.257
5.44592 92838.7 946.412
5.45403 92571.4 944.569
5.46214 92304.1 942.726
5.47026 92036.5 940.881
5.47837 91769.1 939.038
5.48649 91501.5 937.193
5.4946 91234.2 935.35
5.50271 90953.4 933.493
5.51083 90645.4 931.606
5.51894 90337.8 929.722
5.52705 90030.1 927.837
5.53517 89722.1 925.951
5.54328 89414.5 924.066
5.5514 89106.5 922.179
5.55951 88798.9 920.295
5.56762 88491.2 918.41
5.57574 88183.2 916.523
5.58385 87875.6 914.639
5.59196 87568 912.754
5.60008 87259.6 910.866
5.60819 86913.1 908.819
5.6163 86566.6 906.773
5.62442 86219.7 904.724
5.63253 85873.3 902.678
5.64065 85526.4 900.629
5.64876 85179.9 898.582
5.65687 84833.4 896.536
5.66499 84486.5 894.487
5.6731 84140 892.441
5.68121 83793.5 890.394
5.68933 83446.6 888.345
5.69744 83100.2 886.299
5.70556 82729.1 884.096
5.71367 82347.4 881.825
5.72178 81965.7 879.555
5.7299 81583.6 877.281
5.73801 81201.9 875.01
5.74612 80820.2 872.739
5.75424 80438 870.466
5.76235 80056.4 868.195
5.77047 79674.2 865.921
5.77858 79292.5 863.651
5.78669 78910.8 861.38
5.79481 78528.7 859.106
5.80292 78136.9 856.759
5.81103 77727.2 854.275
5.81915 77316.9 851.789
5.82726 76907.2 849.305
5.83538 76497 846.819
5.84349 76087.3 844.335
5.8516 75677.6 841.852
5.85972 75267.3 839.366
5.86783 74857.6 836.882
5.87594 74447.9 834.399
5.88406 74037.7 831.912
5.89217 73628 829.429
5.90029 73217.2 826.939
5.9084 72790.8 824.354
5.91651 72364.5 821.769
5.92463 71937.6 819.182
5.93274 71511.3 816.597
5.94085 71085 814.013
5.94897 70658.1 811.425
5.95708 70231.8 808.84
5.9652 69804.9 806.252
5.97331 69378.6 803.668
5.98142 68952.2 801.083
5.98954 68525.4 798.495
5.99765 68099 795.911
6.00576 67671.9 793.419
